	Chr 1	Chr 2	Chr 3	Chr 4	Chr 5	Chr 6	Chr 7	Chr 8	Chr 9	Chr 10	Chr 11	Chr 12	Chr 13	Chr 14	Chr 15	Chr 16	Chr 17	Chr 18	Chr 19	Chr X	t(7;17)	Ring(11;11)	Ring(4;4)	t(17;7)	t(5;14)	t(14;11)	t(8;18)	t(1;10)	t(12;4)	t(11;14)	ring(1;1)	f(7;7)	ring(10;10)	ring(2;2)	ring(13;13)
R172H L11SVZP1#1	3	4	4	4	4	3	3	4	3	3	3	4	4	3	4	4	2	2	2	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
R172H L11SVZP1#6	3	2	2	3	4	4	4	4	3	4	4	4	3	6	4	3	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11SVZP1#7	4	3	4	3	4	4	4	4	3	3	3	4	3	3	4	3	1	2	2	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
R172H L11SVZP1#12	4	3	4	4	4	4	2	4	3	4	3	4	3	4	3	3	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11SVZP1#4	4	2	4	2	3	4	2	3	2	4	4	4	3	4	3	3	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
R172H L11SVZP1#5	4	3	3	2	4	4	3	4	4	3	4	2	2	3	4	2	2	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
R172H L11SVZP1#8	3	4	4	3	4	4	2	3	3	4	4	4	4	4	4	3	2	2	2	2	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
R172H L11SVZP1#9	4	3	4	3	4	4	3	4	3	4	5	4	4	3	3	4	2	2	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11SVZP1#10	4	2	2	3	3	5	2	4	2	4	5	3	2	3	4	4	2	2	2	2	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1
R172H L11SVZP1#13	3	2	3	3	3	3	2	4	3	3	4	4	4	4	4	3	3	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11SVZP1#15	3	4	3	4	4	4	2	4	3	3	2	4	4	3	4	3	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11SVZP1#14	4	4	4	3	5	4	5	4	3	4	3	4	4	3	4	4	2	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11SVZP1#11	4	2	3	3	3	4	2	3	2	1	3	3	3	3	3	2	1	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11SVZP1#3* (two metaphases)	7	8	6	9	6	8	5	8	6	6	6	8	6	8	9	5	4	4	3	7	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
