	2N/4N	t(7;7)	t(4;2)	t(17;3)	t(3;2)	t(2;8)	t(3;5)	f(10;10)	f(3;5)	f(19;15)	Chr19	Chr5	Chr15
140412#1_TP3#1	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#3	2	1	0	0	0	0	0	1	0	0	1		
140412#1_TP3#5	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#6	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#10	2	1	0	0	0	0	0	1	0	0	1	4	3
140412#1_TP3#13	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#15	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#16	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#17	2	1	0	0	0	0	0	1	0	0	1		
140412#1_TP3#18	2	1	0	0	0	0	0	1	0	0	1		3
140412#1_TP3#20	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#22	2	1	0	0	0	0	0	1	0	0	1		
140412#1_TP3#24	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#26	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#27	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#33	2	1	0	0	0	0	0	1	0	0	1		
140412#1_TP3#35	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#38	2	1	0	0	0	0	0	1	0	0	1		3
140412#1_TP3#42	2	1	0	0	0	0	0	1	0	0	1		
140412#1_TP3#43	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#47	2	1	0	0	0	0	0	1	0	0	1		3
140412#1_TP3#51	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#54	2	1	0	0	0	0	1	1	0	0	1	3	3
140412#1_TP3#55	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#56	2	1	0	0	0	0	0	1	0	0	1		
140412#1_TP3#58	2	1	0	0	0	0	0	1	0	0	1	3	
140412#1_TP3#64	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#65	2	1	0	0	0	0	0	1	0	0	1	3	3
140412#1_TP3#67	2	1	0	0	0	0	0	1	0	0	1		3
140412#1_TP3#68	2	1	0	0	0	0	0	1	0	1	1		
140412#1_TP3#9	4	2	0	0	0	0	0	2	0	0	2	6	5
140412#1_TP3#12	4	2	0	0	0	0	0	2	0	0	2		
140412#1_TP3#44	4	2	0	0	0	0	0	1	0	0	2		
140412#1_TP3#50	4	2	0	0	0	0	0	2	0	1	1	8	7
140412#1_TP3#52	4	2	0	0	0	0	0	2	0	0	2		
140412#1_TP3#70	4	2	0	0	0	0	0	2	0	0	2	6	
140412#1_TP3#7	4	1	1	0	0	0	0	0	0	0	2	5	
140412#1_TP3#8	4	1	1	0	0	0	0	0	0	0	2	5	
140412#1_TP3#11	4	1	1	0	0	0	0	0	0	0	2	5	
140412#1_TP3#14	4	1	1	1	0	0	0	0	0	0	2	5	
140412#1_TP3#19	4	1	1	0	1	0	0	0	0	0	2	5	
140412#1_TP3#21	4	1	1	0	0	0	0	0	0	0	2	5	
140412#1_TP3#23	4	1	1	0	0	0	0	0	0	0	2	5	
140412#1_TP3#25	4	1	1	0	0	0	0	0	0	0	2	4	
140412#1_TP3#28	4	1	1	0	0	0	0	0	0	0	1		
140412#1_TP3#29	4	1	1	0	0	0	0	0	0	0	2		
140412#1_TP3#30	4	1	1	0	0	0	0	0	0	0	2		
140412#1_TP3#31	4	1	1	0	0	0	0	0	0	0	2		
