120717#1 T_P4	Chromosome Number	ring Chr14	t(11;11)	partial deletion of Chr12	Chr19
120717#2 T_P4	71	4	2	1	2
120717#9 T_P4	73	4	2	1	2
120717#18 T_P4	71	4	1	1	2
120717#3 T_P4	74	4	2	0	3
120717#10 T_P4	63	3	2	1	1
120717#16 T_P4	70	3	2	1	2
120717#20 T_P4	72	3	2	2	2
120717#11 T_P4	68	3	1	0	2
120717#17 T_P4	74	2	2	2	2
120717#19 T_P4	64	2	2	1	1
120717#12 T_P4	73	2	1	2	1
120717#15 T_P4	67	2	1	1	2
120717#13 T_P4	63	2	1	0	2
120717#1 T_P4	69	3	?	?	?
120717#5 T_P4	63	2	?	?	?
120717#6 T_P4	66	2	?	?	?
120717#7 T_P4	73	2	?	?	?
120717#14 T_P4	73	3	?	?	?
120717#4 T_P4	28	2		1	
120717#8 T_P4	29	1		2	
120717#22 SVZ(L)_P4	37		1	0	2
120717#1 SVZ(L)_P4	42	1	1	0	2
120717#3 SVZ(L)_P4	30	1	1	0	2
120717#5 SVZ(L)_P4	40	1	1	0	2
120717#6 SVZ(L)_P4	41	1	1	0	2
120717#7 SVZ(L)_P4	41	1	1	0	2
120717#8 SVZ(L)_P4	41	1	1	0	2
120717#9 SVZ(L)_P4	38	1	1	0	2
120717#15 SVZ(L)_P4	37	1	1	0	2
120717#24 SVZ(L)_P4	39	1	1	0	2
120717#28 SVZ(L)_P4	32	1	1	0	2
120717#35 SVZ(L)_P4	41	1	1	0	2
120717#36 SVZ(L)_P4	41	1	1	0	2
120717#11 SVZ(L)_P4	40	2	1	0	2
120717#13 SVZ(L)_P4	36	2	1	0	2
120717#14 SVZ(L)_P4	40	2	1	0	2
120717#17 SVZ(L)_P4	37	2	1	0	2
120717#18 SVZ(L)_P4	39	2	1	0	2
120717#19 SVZ(L)_P4	41	2	1	0	2
120717#20 SVZ(L)_P4	31	2	1	0	2
120717#21 SVZ(L)_P4	42	2	1	0	2
120717#25 SVZ(L)_P4	39	2	1	0	2
120717#27 SVZ(L)_P4	41	2	1	0	2
120717#29 SVZ(L)_P4	40	2	1	0	2
120717#31 SVZ(L)_P4	38	2	1	0	2
120717#32 SVZ(L)_P4	40	2	1	0	2
120717#34 SVZ(L)_P4	37	2	1	0	2
120717#2 SVZ(L)_P4	41	2	2	0	2
120717#10 SVZ(L)_P4	71	1	2	0	2
120717#26 SVZ(L)_P4	73	1	2	0	2
120717#4 SVZ(L)_P4	56	2	1	0	2
120717#12 SVZ(L)_P4	74	2	2	0	2
120717#23 SVZ(L)_P4	72	2	2	0	3
120717#33 SVZ(L)_P4	83	2	2	0	3
120717#16 SVZ(L)_P4	55	3	1	0	3
120717#53 TP4	62	4	1	1	1
120717#55 TP4	72	2	2	2	2
120717#2 TP4	75	2	2	2	2
120717#38 TP4	74	2	2	1	1
120717#24 TP4	63	2	1	2	2
120717#32 TP4	73	2	2	2	2
120717#42 TP4	60	1	2	1	2
120717#25 TP4	72	2	2	2	2
120717#34 TP4	73	2	2	2	2
120717#4 TP4		2	2	2	2
120717#27 TP4	76	2	2	2	2
120717#33 TP4	67	2	2	2	2
120717#36 TP4	73	2	2	2	2
120717#50 TP4	77	2	2	2	2
120717#52 TP4	74	2	2	2	2
120717#41 TP4	67	2	2	1	2
120717#15 TP4	74	2	2	1	2
120717#5 TP4	60	2	2	1	2
120717#37 TP4	69	2	2	1	2
120717#39 TP4	64	2	2	1	1
120717#49 TP4	72	2	2	1	1
120717#16 TP4	76	2	2	3	2
120717#29 TP4	71	2	1	2	2
120717#31 TP4	71	2	1	2	2
120717#44 TP4	75	2	1	2	2
120717#35 TP4	73	2	1	2	2
120717#26 TP4	64	1	2	1	1
120717#56 TP4	71	1	2	2	2
120717#22 TP4	74	1	2	2	2
120717#47 TP4	74	1	2	2	2
120717#51 TP4	69	1	2	2	2
120717#46 TP4	70	1	2	1	1
120717#54 TP4	69	1	2	2	2
120717#9 TP4	61	1	2	2	2
120717#30 TP4	60	1	2	1	1
120717#12 TP4	69	1	2	0	1
120717#19 TP4	68	2	2	0	2
120717#23 TP4	66	2	2	0	2
120717#48 TP4	74	2	2	0	1
120717#43 TP4	66	1	2	0	2
120717#10 TP4	48	1	1	2	1
120717#1 TP4	58	2	?	?	2
120717#1 SVZ(R)_P2	39				
120717#2 SVZ(R)_P2	39				
120717#3 SVZ(R)_P2	39				
120717#4 SVZ(R)_P2	40				
120717#5 SVZ(R)_P2	40				
120717#6 SVZ(R)_P2	76				
120717#7 SVZ(R)_P2	38				
120717#8 SVZ(R)_P2	40				
120717#9 SVZ(R)_P2	40				
120717#10 SVZ(R)_P2	38				
120717#12 SVZ(R)_P2	40				
120717#13 SVZ(R)_P2	39				
120717#14 SVZ(R)_P2	41				
120717#15 SVZ(R)_P2	40				
120717#16 SVZ(R)_P2	38				
120717#17 SVZ(R)_P2	40				
120717#18 SVZ(R)_P2	42				
120717#19 SVZ(R)_P2	41				
120717#20 SVZ(R)_P2	41				
120717#21 SVZ(R)_P2	41				
120717#22 SVZ(R)_P2	35				
120717#23 SVZ(R)_P2	40				
120717#24 SVZ(R)_P2	36				
120717#25 SVZ(R)_P2	39				
120717#26 SVZ(R)_P2	41				
120717#27 SVZ(R)_P2	40				
120717#28 SVZ(R)_P2	40				
120717#29 SVZ(R)_P2	39				
