	Chr 1	Chr 2	Chr 3	Chr 4	Chr 5	Chr 6	Chr 7	Chr 8	Chr 9	Chr 10	Chr 11	Chr 12	Chr 13	Chr 14	Chr 15	Chr 16	Chr 17	Chr 18	Chr 19	Chr X	t(7;17)	Ring(11;11)	Ring(4;4)	t(2;11)	t(7;4)	t(11;2)	t(11;1)	t(10;2)	t(1;8)	t(2;10)	t(11;3)	t(14;1)	t(1;7;17)	ring(14;14)	ring(13;13)
R172H L11P2#5;6	3	2	4	3	3	4	1	4	3	5	3	4	2	4	3	3	2	2	1	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
R172H L11P2#12	3	2	3	1	4	4	2	2	1	2	4	4	3	4	1	2	3	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#13	4	3	4	2	4	4	2	3	3	4	3	4	4	4	1	3	3	1	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#14	4	4	3	3	4	4	2	4	4	4	3	4	4	4	3	3	3	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#17	4	4	4	3	4	4	1	4	3	3	2	4	3	3	3	2	3	2	2	2	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0
R172H L11P2#25	4	4	4	3	3	4	2	4	4	4	2	4	4	4	3	3	3	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#28	4	7	3	3	3	3	2	4	4	3	3	4	4	4	3	3	3	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#30	4	4	4	3	4	4	2	4	3	3	3	4	4	4	3	3	3	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#31	5	4	3	3	3	6	3	3	3	3	6	5	4	3	3	2	3	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#33	3	5	2	3	2	3	3	3	2	2	2	3	4	2	2	2	2	2	1	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
R172H L11P2#35	4	4	4	3	4	4	2	4	3	4	3	4	4	4	3	3	3	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#24	4	3	5	4	3	5	2	3	1	4	2	4	3	3	2	3	1	3	2	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#29	4	4	4	2	4	4	2	4	4	4	3	4	4	4	4	2	2	2	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#32	3	2	4	3	4	4	2	6	2	4	5	5	3	4	4	2	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1
R172H L11P2#34	3	3	4	3	4	4	3	4	3	4	4	3	4	4	4	3	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#7	4	3	3	3	3	4	2	4	3	3	4	3	3	3	4	4	3	2	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#23	3	4	4	3	3	4	2	4	3	4	2	3	4	5	3	4	2	2	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#4	4	3	4	3	3	4	2	4	3	4	3	4	4	5	4	3	2	2	2	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
R172H L11P2#8	4	4	4	3	1	3	1	3	4	5	4	4	4	5	3	2	2	2	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
R172H L11P2#27	2	3	4	2	2	3	2	1	3	4	3	3	2	0	2	3	2	1	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
R172H L11P2#18	4	4	4	3	4	4	3	4	3	3	3	4	4	4	3	3	3	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#21	2	4	3	3	4	2	4	3	2	2	3	3	2	1	2	3	2	2	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
R172H L11P2#26	4	3	2	2	2	4	1	4	1	5	1	3	4	2	3	1	3	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#15	4	3	3	3	4	4	3	2	3	4	3	4	4	4	3	3	3	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R172H L11P2#16	4	3	4	3	4	4	1	5	4	3	5	3	4	2	4	3	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
R172H L11P2#11*(two metaphases)	8	6	7	6	7	7	5	7	7	10	3	8	6	5	5	5	5	4	4	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
