Founder.Cell	Metaphase	Chr1	Chr2	Chr3	Chr4	Chr4.	Chr5	Chr6	Chr7	Chr8	Chr9	Chr10	Chr11	Chr12	Chr13	Chr14	Chr15	Chr16	Chr17	Chr18	Chr19	ChrX	ChrY	t.2.4.	t.3.8.	t.10.11.	t.8.Y.	t.1.12.	t.12.2.	t.10.19.	t.11.13.	t.15.1.Y.	t.4.7.	t.8.11.	t.2.4..	t.14.15.	t.3.11.	t.11.17.	t.17.X.	t.9.2.	t.9.3.	t.3.3.	t.7.12.	t.2.11..and.t.11.2.	f.18.14.	f.11.18.	t.3.4.	t.14.5.	t.5.14.	t.7.8.	t.10.11..
1	SVZL-FC	SVZ(L)P2#11	2	2	2	1	2	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	SVZL-FC	SVZ(L)P2#3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	SVZL-FC	SVZ(L)P2#6	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	SVZL-FC	SVZ(L)P2#7	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	SVZL-FC	SVZ(L)P2#8	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	SVZL-FC	SVZ(L)P2#9	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	SVZL-FC	SVZ(L)P2#14	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	SVZL-FC	SVZ(L)P2#16	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	SVZL-FC	SVZ(L)P2#17	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	SVZL-FC	SVZ(L)P2#18	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	SVZL-FC	SVZ(L)P2#19	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	SVZL-FC	SVZ(L)P2#15	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	SVZL-FC	SVZ(L)P2#20	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	SVZL-FC	SVZ(L)P2#1	2	2	2	1	2	2	2	2	2	2	2	3	2	2	2	2	1	2	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	SVZL-FC	SVZ(L)P2#13	2	2	2	1	2	2	2	2	2	1	2	3	2	2	2	2	1	2	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	SVZL-FC	SVZ(L)P2#10	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	SVZL-FC	SVZ(L)P2#12	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	SVZL-FC	SVZ(L)P2#4	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	SVZL-FC	SVZ(L)P2#5	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	1	1	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
