ID	Chr1	Chr2	Chr3	Chr4	Chr5	Chr6	Chr7	Chr8	Chr9	Chr10	Chr11	Chr12	Chr13	Chr14	Chr15	Chr16	Chr17	Chr18	Chr19	Chr X	t(12;6)	t(11;4;3)	t(19;11)	t(15;11)	t(4;11)	t(19;12)	t(12;6)*	t(2;9)	t(12;19)	t(8;3)	t(X;5)	f(15;15)	ring(14;14)	ring(4;4)	t(15;16)	t(17;11)	t(1;10)	t(2;6)	t(18;5)	t(3;7)	t(9;1)	t(4;1)	t(19;3)
T1P3#1	3	2	3	2	2	2	3	3	3	2	3	2	2	3	2	2	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#4	3	2	5	2	2	2	3	4	2	2	3	2	2	2	3	2	2	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#7	3	2	5	2	2	3	3	3	2	2	3	2	2	3	4	2	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#9	3	2	2	2	4	2	2	4	1	3	3	2	2	2	4	2	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#16	3	2	4	2	2	2	2	4	2	3	3	2	2	3	3	2	2	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#19	3	2	4	2	2	2	2	4	2	2	3	2	2	3	4	2	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#22	2	2	4	2	2	2	3	3	2	2	3	2	2	3	3	2	4	2	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#1	3	2	3	2	3	2	3	4	2	3	3	2	2	3	3	2	3	2	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#2	2	2	4	2	2	2	2	3	2	2	3	2	2	3	4	2	2	2	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#3	3	2	4	3	2	2	3	4	2	2	4	2	2	2	1	2	3	1	3	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#5	3	2	4	2	4	2	3	4	2	2	3	2	2	2	2	2	3	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#6	2	1	4	4	3	2	3	4	2	3	4	2	2	3	3	2	4	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SVZLP3#11	3	2	4	2	4	2	3	4	2	2	2	2	2	4	4	1	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#12	3	2	4	2	2	2	3	4	2	4	1	2	2	2	3	2	3	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#13	3	2	4	2	2	1	3	4	2	2	3	2	2	3	3	2	3	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#14	2	2	2	2	1	3	2	2	2	3	4	2	3	3	3	2	3	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#15	3	2	4	2	2	2	2	4	2	2	2	2	2	2	4	2	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SVZLP3#16	3	2	4	2	3	2	3	3	2	2	3	2	2	3	3	2	2	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SVZLP3#17	3	3	4	2	2	2	3	4	2	2	2	2	2	3	3	1	3	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
SVZLP3#4	2	3	1	2	2	2	2	2	2	2	2	2	2	3	3	2	3	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SVZLP3#8	1	2	4	2	2	1	1	3	2	2	1	2	2	3	3	1	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SVZRP2#1	2	2	4	2	3	2	2	4	2	2	3	2	2	3	4	2	3	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#22	3	3	3	2	1	2	1	2	2	2	2	2	0	0	3	0	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#24	2	5	3	2	1	1	3	2	2	2	2	2	1	0	2	2	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#29	2	2	4	2	3	2	3	3	2	3	3	2	2	3	2	3	3	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#11	3	2	4	3	3	2	3	4	3	2	3	2	1	3	4	2	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#25	3	2	4	3	2	1	2	3	2	2	2	2	2	3	4	2	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
T1P3#8	3	3	4	1	2	2	3	3	3	2	2	2	2	3	3	2	3	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#2	3	1	1	2	2	2	3	2	3	2	5	3	2	3	2	2	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#11	3	3	4	2	2	2	3	3	3	2	3	2	2	3	3	2	3	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#20	3	3	3	2	3	2	3	3	3	2	3	2	2	3	3	2	3	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#7	3	3	3	4	3	2	2	3	1	2	3	2	2	2	3	2	3	2	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#9	3	3	4	2	3	2	3	4	3	2	3	2	2	3	4	2	3	2	3	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#20	2	2	4	3	2	2	3	4	1	2	2	2	1	1	4	1	2	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#23	2	3	3	1	2	2	3	4	3	2	5	1	2	3	4	2	3	2	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
T1P3#3	2	1	4	2	2	2	3	4	2	2	3	2	2	3	2	2	3	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#5	2	2	5	2	2	2	3	4	2	2	2	3	2	3	3	2	2	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#6	2	2	2	2	3	2	3	3	3	2	2	2	2	2	3	1	3	2	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#10	2	2	4	2	2	2	3	4	2	2	2	2	2	2	3	2	3	2	1	1	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#12	1	2	4	2	2	2	3	4	2	2	2	2	2	3	3	2	3	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#13	3	2	4	2	2	2	3	4	2	2	2	2	2	3	2	2	3	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#17	2	2	4	2	2	2	3	4	2	2	2	2	2	3	3	2	3	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#21	2	2	4	2	2	2	3	4	2	2	2	2	1	2	3	2	2	2	2	1	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#15	2	2	4	2	3	2	3	4	2	2	3	2	2	3	4	2	2	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1P3#18	2	2	3	2	3	2	3	4	2	2	2	2	2	4	3	2	3	2	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZLP3#10	3	2	4	2	3	2	3	4	2	2	3	2	2	2	2	1	2	2	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#2	2	2	4	2	2	2	2	3	2	3	3	2	2	3	3	2	2	2	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#4	3	2	4	2	2	2	3	3	2	2	3	3	2	3	3	2	2	2	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#8	3	2	4	2	2	2	3	3	1	3	3	2	2	3	3	2	3	1	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#9	3	2	4	2	2	1	2	3	2	2	3	2	2	3	3	2	3	2	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#13(partial?)	3	2	3	2	2	2	3	3	1	1	3	1	2	3	3	2	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#32	3	2	4	2	2	2	3	2	2	2	3	2	2	2	3	2	2	2	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#40	3	2	3	2	2	2	3	3	2	2	3	2	2	3	3	2	2	2	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#41	2	2	4	2	2	2	1	2	1	1	3	2	2	3	2	2	3	2	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#42(partial?)	2	1	3	2	2	1	1	3	2	2	3	1	2	2	4	0	3	2	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#19	3	2	4	2	2	2	3	3	2	2	3	2	2	3	5	2	3	2	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#7	3	2	4	2	2	2	2	4	2	2	2	2	2	3	4	2	3	2	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#33	3	2	4	2	2	2	2	1	2	2	2	2	2	3	4	2	3	2	2	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#14	3	2	4	2	2	2	2	3	2	2	2	2	2	3	4	2	3	2	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#15 (partial)	2	1	3	2	2	2	2	3	2	1	2	2	1	2	3	2	3	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#26	3	2	4	2	2	2	2	2	1	2	2	1	2	3	4	3	3	2	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZRP2#30	3	2	4	2	2	2	2	3	2	2	2	2	1	2	3	2	3	2	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
