ID	Chr1	Chr2	Chr3	Chr4	Chr5	Chr6	Chr7	Chr8	Chr9	Chr10	Chr11	Chr12	Chr13	Chr14	Chr15	Chr16	Chr17	Chr18	Chr19	Chr X	t(11;11)	dChr X	f(18;2)	t(2;5)	t(3;11)	t(3;16)	Ring(11;11)	t(X;1)/t(1;X)	f(X;11)	t(14;4)	t(7;14)	f(8;14)	t(9;16)	t(X;16)	t(9;11)	t(1;9)	t(3;1)	t(17;7)	t(4;7)
SVZ(L)P3#2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#14	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#15	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#13	2	2	2	1	2	2	3	2	1	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#11	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#6	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#3	2	2	1	2	2	2	2	2	1	2	2	2	2	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#12	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#16	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(L)P3#8	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#13	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#1	2	2	2	2	1	2	3	2	2	1	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#5	2	2	2	1	1	2	3	2	2	2	1	2	2	3	2	2	2	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#3	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#7	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#12	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
